Testcase_Number Left_Coin_Pile Right_Coin_Pile Computation_Time Number_of_Coins
445 0 0 0 4
446 0 0 0 4
447 0 0 0 4
448 0 0 0 4
449 0 0 0 4
450 0 0 0 4
451 0 0 0 4
452 0 0 0 4
453 0 0 0 4
454 0 0 0 4
455 0 0 0 4
456 0 0 0 4
457 0 0 0 4
458 0 0 0 4
459 0 0 0 4
460 0 0 1573900 4
461 0 0 0 4
462 0 0 0 4
463 0 0 0 4
464 14,6 3,17 0 4
465 0 0 0 4
466 0 0 99300 4
467 19 2,8,9 0 4
468 0 0 0 4
469 0 0 0 4
470 0 0 0 4
471 0 0 0 4
472 0 0 0 4
473 0 0 0 4
474 0 0 0 4
475 0 0 0 4
476 0 0 0 4
477 0 0 0 4
478 2,3,5 10 0 4
479 0 0 0 4
480 18 9,7,2 0 4
481 0 0 0 4
482 0 0 0 4
483 0 0 0 4
484 0 0 0 4
485 0 0 0 4
486 0 0 0 4
487 0 0 0 4
488 0 0 0 4
489 0 0 0 4
490 0 0 0 4
491 0 0 0 4
492 0 0 0 4
493 0 0 0 4
494 0 0 0 4
495 0 0 0 4
496 0 0 0 4
497 0 0 0 4
498 0 0 0 4
499 0 0 0 4
500 0 0 0 4
501 0 0 0 4
502 0 0 0 4
503 0 0 0 4
504 0 0 0 4
505 0 0 0 4
506 0 0 0 4
507 0 0 0 4
508 0 0 0 4
509 0 0 0 4
510 0 0 0 4
511 0 0 0 4
512 0 0 0 4
513 0 0 0 4
514 0 0 0 4
515 0 0 0 4
516 0 0 0 4
517 0 0 0 4
518 0 0 0 4
519 0 0 0 4
520 0 0 0 4
521 0 0 0 4
522 8,22 7,23 0 4
523 0 0 0 4
524 0 0 0 4
525 0 0 0 4
526 4,20 18,6 0 4
527 0 0 0 4
528 0 0 0 4
529 0 0 0 4
530 14,2,4 20 0 4
531 0 0 0 4
532 0 0 0 4
533 0 0 0 4
534 0 0 0 4
535 0 0 0 4
536 0 0 0 4
537 0 0 0 4
538 0 0 0 4
539 0 0 0 4
540 0 0 0 4
541 0 0 0 4
542 0 0 0 4
543 0 0 0 4
544 0 0 0 4
545 0 0 0 4
546 0 0 0 4
547 0 0 0 4
548 0 0 0 4
549 0 0 0 4
550 15,14 4,25 0 4
551 0 0 0 4
552 2,24 9,17 0 4
553 0 0 0 4
554 0 0 0 4
555 0 0 0 4
556 0 0 0 4
557 6,22 19,9 0 4
558 0 0 0 4
559 0 0 0 4
560 0 0 0 4
561 0 0 0 4
562 0 0 0 4
563 0 0 0 4
564 0 0 0 4
565 0 0 0 4
566 0 0 0 4
567 0 0 0 4
568 0 0 0 4
569 0 0 0 4
570 11,19 22,8 0 4
571 0 0 0 4
572 0 0 0 4
573 0 0 0 4
574 0 0 0 4
575 0 0 0 4
576 0 0 0 4
577 0 0 0 4
578 0 0 0 4
579 0 0 0 4
580 0 0 0 4
581 10,17 17,10 0 4
582 0 0 0 4
583 0 0 0 4
584 0 0 0 4
585 0 0 0 4
586 0 0 0 4
587 0 0 0 4
588 0 0 0 4
589 0 0 0 4
590 0 0 0 4
591 0 0 0 4
592 0 0 0 4
593 0 0 0 4
594 0 0 0 4
595 0 0 0 4
596 5,22 16,11 0 4
597 0 0 0 4
598 0 0 0 4
599 0 0 0 4
600 0 0 0 4
601 0 0 0 5
602 0 0 0 5
603 0 0 0 5
604 0 0 0 5
605 0 0 0 5
606 0 0 0 5
607 0 0 0 5
608 18,14,6 23,15 0 5
609 0 0 0 5
610 0 0 0 5
611 0 0 0 5
612 0 0 0 5
613 0 0 0 5
614 0 0 0 5
615 0 0 0 5
616 16,25 17,11,13 0 5
617 21,16 15,8,14 0 5
618 8,6,18 14,18 0 5
619 0 0 0 5
620 0 0 0 5
621 0 0 0 5
622 0 0 0 5
623 0 0 0 5
624 12,11,14 18,19 0 5
625 0 0 0 5
626 0 0 0 5
627 0 0 0 5
628 0 0 0 5
629 6,2,20 22,6 0 5
630 0 0 0 5
631 0 0 0 5
632 0 0 0 5
633 19,15 2,7,25 0 5
634 17,23 10,19,11 0 5
635 0 0 0 5
636 0 0 0 5
637 0 0 0 5
638 0 0 0 5
639 0 0 0 5
640 0 0 0 5
641 0 0 0 5
642 0 0 0 5
643 0 0 0 5
644 0 0 0 5
645 0 0 0 5
646 0 0 0 5
647 0 0 0 5
648 0 0 0 5
649 0 0 0 5
650 0 0 0 5
651 0 0 0 5
652 0 0 0 5
653 0 0 0 5
654 0 0 0 5
655 0 0 0 5
656 0 0 0 5
657 0 0 0 5
658 0 0 0 5
659 0 0 0 5
660 0 0 0 5
661 0 0 0 5
662 0 0 0 5
663 16,9,13 24,14 0 5
664 0 0 0 5
665 0 0 0 5
666 0 0 0 5
667 0 0 988600 5
668 0 0 0 5
669 0 0 0 5
670 0 0 0 5
671 0 0 0 5
672 0 0 0 5
673 0 0 0 5
674 0 0 0 5
675 0 0 0 5
676 0 0 0 5
677 0 0 0 5
678 0 0 0 5
679 11,18,5 18,16 0 5
680 12,25,6 19,24 0 5
681 0 0 0 5
682 0 0 0 5
683 0 0 0 5
684 0 0 0 5
685 0 0 0 5
686 0 0 0 5
687 16,4,15 25,10 0 5
688 0 0 0 5
689 0 0 0 5
690 0 0 0 5
691 0 0 0 5
692 0 0 0 5
693 0 0 0 5
