Testcase_Number Left_Coin_Pile Right_Coin_Pile Computation_Time Number_of_Coins
520 0 0 0 8
521 19,5,4,9,21 22,11,25 0 8
522 23,3,25,6 13,22,19,3 0 8
523 18,25,25 18,19,12,2,17 0 8
524 5,7,19,18 14,15,13,7 0 8
525 0 0 1000000 8
526 0 0 0 8
527 20,19,3,11 6,21,23,3 0 8
528 7,24,10,12 3,24,23,3 0 8
529 0 0 0 8
530 8,9,19,8,9 22,22,9 0 8
531 11,19,8,11 16,7,8,18 0 8
532 6,15,4,14 3,22,9,5 0 8
533 0 0 0 8
534 17,4,19,18 7,8,19,24 0 8
535 0 0 0 8
536 18,6,4,18 12,23,3,8 0 8
537 0 0 0 8
538 0 0 0 8
539 0 0 0 8
540 14,14,14,14 17,21,13,5 0 8
541 0 0 0 8
542 16,21,19,3 12,15,24,8 1000000 8
543 0 0 0 8
544 24,5,24 13,17,4,9,10 0 8
545 0 0 0 8
546 12,21,9 3,2,13,2,22 0 8
547 0 0 0 8
548 0 0 0 8
549 2,2,25,23,8 21,15,24 0 8
550 0 0 0 8
551 0 0 0 8
552 0 0 0 8
553 23,9,14 9,6,2,4,25 0 8
554 15,24,13,12 17,25,3,19 0 8
555 24,9,12,15 22,17,19,2 0 8
556 9,6,14,11,25 21,22,22 0 8
557 0 0 0 8
558 14,15,18,4,9 23,23,14 0 8
559 0 0 0 8
560 6,21,14,11,4 21,23,12 0 8
561 0 0 0 8
562 0 0 0 8
563 0 0 0 8
564 0 0 0 8
565 11,12,2,18,9 25,5,22 0 8
566 0 0 1505500 8
567 0 0 0 8
568 0 0 0 8
569 4,10,22,20 9,21,9,17 0 8
570 2,24,5,10,6 11,17,19 0 8
571 14,22,18,3 4,23,9,21 0 8
572 0 0 0 8
573 0 0 0 8
574 0 0 0 8
575 6,25,24 7,12,12,16,8 0 8
576 24,25,15 14,10,17,20,3 0 8
577 0 0 0 8
578 22,8,18,11 24,19,14,2 0 8
579 0 0 0 8
580 0 0 0 8
581 6,20,17,23 11,12,22,21 0 8
582 0 0 1022600 8
583 9,20,20,4,4 21,21,15 0 8
584 21,14,16,9 24,13,7,16 0 8
585 11,9,3 5,2,9,4,3 0 8
586 4,23,25,13 19,24,13,9 0 8
587 0 0 0 8
588 0 0 0 8
589 0 0 0 8
590 0 0 0 8
